ID^a,R.A.,Decl.,"m_UV^b^,^c",M_UV^c,"r_e/kpc^c^,^d",e,mu_best^e,mu^f,z_photo,,,,,,,,,,
5512-1588,3.479685,-30.366359,${28.15}_{-0.39}^{+0.44}$,$-{19.00}_{-0.39}^{+0.44}$,${0.42}_{-0.15}^{+0.29}$,0.09,1.08,${1.06}_{-0.01}^{+0.01}$,${7.8}_{-6.4}^{+0.8}$,,,,,,,,,,
5530-3153,3.480419,-30.387608,${27.48}_{-0.32}^{+0.35}$,$-{19.66}_{-0.32}^{+0.35}$,${0.46}_{-0.17}^{+0.23}$,0.44,1.09,${1.03}_{-0.01}^{+0.01}$,${7.3}_{-6.3}^{+0.8}$,,,,,,,,,,
1151-4540,64.047984,-24.081670,${27.07}_{-0.29}^{+0.34}$,$-{20.07}_{-0.29}^{+0.34}$,${0.27}_{-0.09}^{+0.14}$,0.57,1.44,${1.49}_{-0.03}^{+0.04}$,${8.4}_{-0.9}^{+0.9}$,,,,,,,,,,
0939-5354,64.039165,-24.093183,${26.05}_{-0.80}^{+0.31}$,$-{21.09}_{-0.80}^{+0.31}$,${0.73}_{-0.40}^{+0.13}$,0.37,1.38,${1.43}_{-0.03}^{+0.03}$,${8.5}_{-0.9}^{+0.9}$,,,,,,,,,,
1153-4531,64.048057,-24.081431,${27.09}_{-0.45}^{+0.37}$,$-{20.06}_{-0.45}^{+0.37}$,${0.56}_{-0.22}^{+0.21}$,0.28,1.44,${1.50}_{-0.03}^{+0.04}$,${8.7}_{-1.0}^{+0.9}$,,,,,,,,,,
0901-5171,64.037567,-24.088109,${28.49}_{-0.37}^{+0.28}$,$-{18.66}_{-0.37}^{+0.28}$,${0.29}_{-0.12}^{+0.13}$,0.64,1.70,${1.78}_{-0.05}^{+0.06}$,${8.4}_{-0.9}^{+0.9}$,,,,,,,,,,
1447-3538,64.060329,-24.064958,${28.82}_{-0.29}^{+0.26}$,$-{18.32}_{-0.29}^{+0.26}$,${0.17}_{-0.07}^{+0.09}$,0.35,1.79,${1.79}_{-0.04}^{+0.04}$,${7.7}_{-0.8}^{+0.9}$,,,,,,,,,,
2912-7330,64.121366,-24.125856,${27.39}_{-0.22}^{+0.18}$,$-{19.75}_{-0.22}^{+0.18}$,${0.12}_{-0.05}^{+0.04}$,0.38,1.00,${1.00}_{-0.00}^{+0.00}$,${7.6}_{-0.8}^{+0.9}$,,,,,,,,,,
3286-6419,64.136930,-24.111643,${27.54}_{-0.22}^{+0.18}$,$-{19.60}_{-0.22}^{+0.18}$,${0.19}_{-0.08}^{+0.06}$,0.29,1.00,${1.00}_{-0.00}^{+0.01}$,${7.8}_{-0.8}^{+0.9}$,,,,,,,,,,
3596-6480,64.149865,-24.113352,${28.00}_{-0.30}^{+0.27}$,$-{19.15}_{-0.30}^{+0.27}$,${0.31}_{-0.14}^{+0.16}$,0.13,1.00,${0.99}_{-0.00}^{+0.01}$,${8.5}_{-0.9}^{+1.0}$,,,,,,,,,,
3044-6002,64.126862,-24.100067,${27.93}_{-0.39}^{+0.29}$,$-{19.22}_{-0.39}^{+0.29}$,${0.34}_{-0.14}^{+0.15}$,0.53,1.01,${1.00}_{-0.01}^{+0.01}$,${1.8}_{-0.3}^{+6.4}$,,,,,,,,,,
3042-6011,64.126779,-24.100323,${27.99}_{-0.38}^{+0.29}$,$-{19.15}_{-0.38}^{+0.29}$,${0.44}_{-0.18}^{+0.19}$,0.56,1.01,${1.00}_{-0.01}^{+0.01}$,${8.2}_{-0.9}^{+0.9}$,,,,,,,,,,
3549-6422,64.147904,-24.111729,${28.41}_{-0.29}^{+0.27}$,$-{18.73}_{-0.29}^{+0.27}$,${0.13}_{-0.06}^{+0.07}$,0.90,1.00,${1.00}_{-0.00}^{+0.01}$,${8.4}_{-1.0}^{+0.9}$,,,,,,,,,,
2862-7348,64.119271,-24.126357,${28.39}_{-0.29}^{+0.27}$,$-{18.75}_{-0.29}^{+0.27}$,${0.18}_{-0.08}^{+0.09}$,0.89,1.00,${1.00}_{-0.00}^{+0.00}$,${5.8}_{-5.2}^{+2.1}$,,,,,,,,,,
3642-6304,64.151758,-24.108450,${28.25}_{-0.38}^{+0.28}$,$-{18.89}_{-0.38}^{+0.28}$,${0.32}_{-0.13}^{+0.14}$,0.61,1.00,${1.00}_{-0.01}^{+0.01}$,${8.6}_{-6.5}^{+1.0}$,,,,,,,,,,
2871-7010,64.119662,-24.116954,${27.38}_{-0.42}^{+0.47}$,$-{19.77}_{-0.42}^{+0.47}$,${0.61}_{-0.26}^{+0.29}$,0.63,1.00,${1.00}_{-0.00}^{+0.00}$,${7.7}_{-6.2}^{+0.9}$,,,,,,,,,,
2251-9452,109.343797,37.829235,${27.67}_{-0.22}^{+0.17}$,$-{19.48}_{-0.22}^{+0.17}$,${0.23}_{-0.10}^{+0.08}$,0.26,1.14,${1.17}_{-0.04}^{+0.02}$,${8.3}_{-0.9}^{+0.9}$,,,,,,,,,,
1788-9254,109.324524,37.823744,${27.77}_{-0.22}^{+0.17}$,$-{19.37}_{-0.22}^{+0.17}$,${0.17}_{-0.08}^{+0.06}$,0.24,1.19,${1.21}_{-0.02}^{+0.02}$,${8.1}_{-0.9}^{+0.9}$,,,,,,,,,,
1891-8538,109.328823,37.814951,${27.97}_{-0.38}^{+0.29}$,$-{19.17}_{-0.38}^{+0.29}$,${0.31}_{-0.13}^{+0.14}$,0.17,1.26,${1.28}_{-0.02}^{+0.02}$,${5.5}_{-4.8}^{+1.7}$,,,,,,,,,,
1672-0089,109.319676,37.835808,${27.92}_{-0.39}^{+0.29}$,$-{19.22}_{-0.39}^{+0.29}$,${0.34}_{-0.14}^{+0.15}$,0.64,1.13,${1.15}_{-0.02}^{+0.02}$,${7.3}_{-2.2}^{+0.8}$,,,,,,,,,,
1854-0446,109.327261,37.845742,${28.25}_{-0.30}^{+0.27}$,$-{18.89}_{-0.30}^{+0.27}$,${0.26}_{-0.12}^{+0.14}$,0.63,1.09,${1.11}_{-0.03}^{+0.02}$,${7.8}_{-2.8}^{+0.8}$,,,,,,,,,,
2153-9369,109.339742,37.826923,${28.23}_{-0.38}^{+0.28}$,$-{18.91}_{-0.38}^{+0.28}$,${0.40}_{-0.17}^{+0.18}$,0.41,1.15,${1.19}_{-0.03}^{+0.02}$,${7.8}_{-6.0}^{+0.8}$,,,,,,,,,,
4025-5027,177.417749,22.417435,${25.52}_{-0.15}^{+0.06}$,$-{21.62}_{-0.15}^{+0.06}$,${0.27}_{-0.06}^{+0.02}$,0.72,1.58,${1.60}_{-0.12}^{+0.12}$,${7.5}_{-0.8}^{+0.8}$,,,,,,,,,,
4024-4492,177.417702,22.413687,${27.91}_{-0.22}^{+0.17}$,$-{19.23}_{-0.22}^{+0.17}$,${0.09}_{-0.04}^{+0.03}$,0.90,1.63,${1.68}_{-0.14}^{+0.22}$,${8.4}_{-0.9}^{+1.0}$,,,,,,,,,,
3745-6484,177.406060,22.280113,${26.68}_{-0.29}^{+0.28}$,$-{20.47}_{-0.29}^{+0.28}$,${0.35}_{-0.12}^{+0.17}$,0.72,1.01,${1.00}_{-0.01}^{+0.01}$,${8.4}_{-0.9}^{+0.9}$,,,,,,,,,,
3998-8560,177.416587,22.315557,${27.09}_{-0.22}^{+0.18}$,$-{20.05}_{-0.22}^{+0.18}$,${0.25}_{-0.11}^{+0.08}$,0.60,1.04,${1.03}_{-0.01}^{+0.02}$,${8.0}_{-0.9}^{+0.8}$,,,,,,,,,,
3959-8115,177.414974,22.303195,${27.37}_{-0.28}^{+0.27}$,$-{19.77}_{-0.28}^{+0.27}$,${0.33}_{-0.11}^{+0.15}$,0.52,1.02,${1.01}_{-0.01}^{+0.01}$,${7.5}_{-2.0}^{+0.9}$,,,,,,,,,,
3612-8473,177.400509,22.313149,${27.91}_{-0.39}^{+0.29}$,$-{19.23}_{-0.39}^{+0.29}$,${0.39}_{-0.16}^{+0.17}$,0.34,1.04,${1.02}_{-0.01}^{+0.01}$,${7.6}_{-6.3}^{+0.8}$,,,,,,,,,,
4149-8180,177.422903,22.305006,${26.62}_{-0.40}^{+0.60}$,$-{20.53}_{-0.40}^{+0.60}$,${0.64}_{-0.28}^{+0.34}$,0.53,1.03,${1.02}_{-0.01}^{+0.01}$,${7.7}_{-6.6}^{+0.9}$,,,,,,,,,,
3769-8456,177.407054,22.312680,${27.94}_{-0.30}^{+0.27}$,$-{19.21}_{-0.30}^{+0.27}$,${0.18}_{-0.08}^{+0.09}$,0.89,1.03,${1.02}_{-0.01}^{+0.01}$,${7.4}_{-1.5}^{+0.8}$,,,,,,,,,,
4419-8349,177.434162,22.309709,${28.18}_{-0.17}^{+0.19}$,$-{18.96}_{-0.17}^{+0.19}$,${0.08}_{-0.04}^{+0.07}$,0.90,1.05,${1.03}_{-0.01}^{+0.01}$,${1.7}_{-1.2}^{+6.1}$,,,,,,,,,,
4553-7304,177.439740,22.291792,${27.04}_{-0.43}^{+0.47}$,$-{20.10}_{-0.43}^{+0.47}$,${0.61}_{-0.26}^{+0.29}$,0.84,1.02,${1.01}_{-0.01}^{+0.01}$,${7.5}_{-6.4}^{+0.9}$,,,,,,,,,,
3878-7079,177.411594,22.285550,${28.28}_{-0.39}^{+0.43}$,$-{18.87}_{-0.39}^{+0.43}$,${0.43}_{-0.15}^{+0.30}$,0.75,1.01,${1.00}_{-0.01}^{+0.01}$,${7.9}_{-6.7}^{+0.8}$,,,,,,,,,,
3593-8440,177.399737,22.312238,${27.86}_{-0.34}^{+0.51}$,$-{19.28}_{-0.34}^{+0.51}$,${0.46}_{-0.17}^{+0.17}$,0.32,1.04,${1.02}_{-0.01}^{+0.01}$,${7.5}_{-6.7}^{+0.8}$,,,,,,,,,,
4316-1323^g,342.179848,-44.525661,${29.82}_{-0.65}^{+0.25}$,$-{17.32}_{-0.65}^{+0.25}$,${0.17}_{-0.10}^{+0.03}$,0.31,27.71,${28.32}_{-2.29}^{+2.05}$,${8.2}_{-0.9}^{+0.9}$,,,,,,,,,,
4374-1338^g,342.182266,-44.526074,${30.73}_{-0.24}^{+0.17}$,$-{16.41}_{-0.24}^{+0.17}$,${0.08}_{-0.03}^{+0.02}$,0.51,24.76,${25.32}_{-1.34}^{+1.41}$,${8.5}_{-0.9}^{+1.0}$,,,,,,,,,,
4111-2125,342.171304,-44.536810,${28.68}_{-0.27}^{+0.26}$,$-{18.46}_{-0.27}^{+0.26}$,${0.20}_{-0.07}^{+0.09}$,0.90,4.11,${4.15}_{-0.15}^{+0.12}$,${1.6}_{-1.5}^{+0.5}$,,,,,,,,,,
3935-1469,342.163986,-44.529704,${30.33}_{-0.15}^{+0.18}$,$-{16.81}_{-0.15}^{+0.18}$,${0.03}_{-0.01}^{+0.02}$,0.90,5.13,${5.17}_{-0.20}^{+0.18}$,${7.9}_{-6.9}^{+0.9}$,,,,,,,,,,
2129-2064,342.338729,-44.535120,${26.96}_{-0.09}^{+0.09}$,$-{20.18}_{-0.09}^{+0.09}$,${0.04}_{-0.02}^{+0.02}$,0.32,1.06,${1.06}_{-0.00}^{+0.00}$,${7.5}_{-0.9}^{+0.8}$,,,,,,,,,,
1912-1491,342.329688,-44.530307,${26.79}_{-0.13}^{+0.17}$,$-{20.36}_{-0.13}^{+0.17}$,${0.54}_{-0.08}^{+0.09}$,0.66,1.07,${1.07}_{-0.00}^{+0.00}$,${7.9}_{-0.9}^{+0.9}$,,,,,,,,,,
1278-2047,342.303254,-44.534661,${28.36}_{-0.29}^{+0.27}$,$-{18.78}_{-0.29}^{+0.27}$,${0.21}_{-0.09}^{+0.11}$,0.44,1.10,${1.10}_{-0.01}^{+0.00}$,${8.0}_{-6.4}^{+0.9}$,,,,,,,,,,
2027-2472,342.334489,-44.546470,${27.48}_{-0.32}^{+0.35}$,$-{19.67}_{-0.32}^{+0.35}$,${0.50}_{-0.18}^{+0.25}$,0.85,1.05,${1.05}_{-0.00}^{+0.00}$,${7.2}_{-6.1}^{+0.8}$,,,,,,,,,,
1617-1544,342.317414,-44.531796,${26.94}_{-0.35}^{+0.22}$,$-{20.20}_{-0.35}^{+0.22}$,${1.34}_{-0.18}^{+0.16}$,0.31,1.08,${1.08}_{-0.01}^{+0.00}$,${1.8}_{-1.5}^{+5.2}$,,,,,,,,,,
1222-3093,342.300944,-44.552588,${28.32}_{-0.38}^{+0.28}$,$-{18.83}_{-0.38}^{+0.28}$,${0.30}_{-0.12}^{+0.13}$,0.69,1.07,${1.07}_{-0.00}^{+0.00}$,${7.9}_{-6.5}^{+0.9}$,,,,,,,,,,
5058-4269^g,39.960762,-1.574159,${27.62}_{-0.03}^{+0.04}$,$-{19.52}_{-0.03}^{+0.04}$,${0.14}_{-0.01}^{+0.01}$,0.18,8.64,${7.90}_{-0.54}^{+0.70}$,${7.8}_{-0.9}^{+0.9}$,,,,,,,,,,
5131-4096^g,39.963821,-1.569361,${28.16}_{-0.13}^{+0.10}$,$-{18.98}_{-0.13}^{+0.10}$,${0.04}_{-0.01}^{+0.01}$,0.90,8.93,${8.38}_{-0.80}^{+0.93}$,${7.9}_{-0.9}^{+0.9}$,,,,,,,,,,
5578-4519^g,39.982425,-1.581097,${28.46}_{-0.28}^{+0.15}$,$-{18.69}_{-0.28}^{+0.15}$,${0.11}_{-0.06}^{+0.03}$,0.83,8.05,${7.58}_{-0.46}^{+0.49}$,${8.2}_{-0.9}^{+0.9}$,,,,,,,,,,
5420-5141^g,39.975874,-1.587261,${28.39}_{-0.21}^{+0.17}$,$-{18.75}_{-0.21}^{+0.17}$,${0.07}_{-0.03}^{+0.02}$,0.90,4.66,${4.56}_{-0.33}^{+0.31}$,${8.2}_{-0.9}^{+0.9}$,,,,,,,,,,
4926-4404,39.955279,-1.577912,${28.25}_{-0.28}^{+0.32}$,$-{18.90}_{-0.28}^{+0.32}$,${0.20}_{-0.06}^{+0.11}$,0.65,3.16,${2.92}_{-0.14}^{+0.18}$,${8.3}_{-0.9}^{+1.0}$,,,,,,,,,,
5187-5411,39.966133,-1.594771,${30.25}_{-0.16}^{+0.15}$,$-{16.89}_{-0.16}^{+0.15}$,${0.07}_{-0.03}^{+0.03}$,0.89,17.56,${10.31}_{-0.97}^{+1.83}$,${7.4}_{-5.9}^{+0.8}$,,,,,,,,,,
1374-7002,40.057265,-1.616732,${28.63}_{-0.16}^{+0.20}$,$-{18.52}_{-0.16}^{+0.20}$,${0.05}_{-0.03}^{+0.04}$,0.90,1.24,${1.16}_{-0.03}^{+0.03}$,${1.6}_{-0.5}^{+6.2}$,,,,,,,,,,
1167-6515,40.048638,-1.614306,${29.32}_{-0.23}^{+0.38}$,$-{17.82}_{-0.23}^{+0.38}$,${0.06}_{-0.04}^{+0.06}$,0.89,1.27,${1.19}_{-0.03}^{+0.04}$,${1.8}_{-1.6}^{+1.3}$,,,,,,,,,,
